Categoria,Fabricante,Produto,Tecnologia,Preço Est. (€),Saca_Kg,KG_por_Ha,N (%),P (%),K (%),Sacas_por_Ha,Total_por_Ha
Premium,ICL Everris,Sierrablen Plus,Liberação Lenta (6m),115,20,350,19,5,18,18,2070
Premium,ICL Everris,ProTurf High K,Polímero/Policote,95,20,300,12,5,20,15,1425
Premium,Compo Expert,Basacote Plus,Liberação Controlada,105,20,400,16,8,12,20,2100
Premium,Compo Expert,Floranid Twin Eagle,Isodur/Crotodur,120,20,300,20,5,8,15,1800
Premium,Mivena,Granucote CRF,Resina de Revestimento,110,20,350,18,5,15,18,1980
Premium,Yara,YaraMila Complex,Complexo Hidrossolúvel,45,20,400,12,11,18,20,900
Premium,Syngenta,Heritage Action (Nutri),Bioestimulante + N,135,20,20,15,0,0,1,135
Premium,Andersons,Contec DG,Dispersão Granular,125,20,250,18,9,18,13,1625
Premium,LebanonTurf,Country Club,Metileno Ureia,100,20,300,19,0,19,15,1500
Premium,ICL Everris,Greenmaster Pro-Iron,Micro-peletizado,85,20,300,12,0,10,15,1275
